Date,Location,Outcome,Outcome2,Hits,Doubles,Homeruns,StrikeOuts
18-Jun,Home,Lose,0,12,1,4,9
19-Jun,Home,Lose,0,6,3,0,7
20-Jun,Home,Lose,0,8,2,1,4
21-Jun,Home,Lose,0,4,1,1,4
23-Jun,Away,Win,1,10,2,2,7
24-Jun,Away,Lose,0,4,0,1,7
25-Jun,Away,Lose,0,8,2,0,10
26-Jun,Away,Lose,0,3,0,0,8
27-Jun,Away,Win,1,14,3,3,9
28-Jun,Away,Win,1,10,1,0,9
30-Jun,Away,Lose,0,10,2,3,6
1-Jul,Away,Lose,0,2,0,0,7
2-Jul,Away,Lose,0,8,3,0,7
3-Jul,Home,Win,1,11,3,1,6
4-Jul,Home,Win,1,9,1,0,5
5-Jul,Home,Win,1,3,0,2,4
6-Jul,Home,Win,1,21,6,4,9
7-Jul,Home,Lose,0,10,2,2,8
8-Jul,Home,Win,1,9,0,1,11
9-Jul,Home,Win,1,12,2,2,5
10-Jul,Home,Win,1,5,3,0,6
11-Jul,Home,Win,1,13,3,2,8
12-Jul,Home,Win,1,6,2,1,7
16-Jul,Away,Win,1,10,2,3,10
17-Jul,Away,Win,1,12,2,1,10
19-Jul,Away,Win,1,8,2,0,7
20-Jul,Home,Win,1,9,2,3,10
21-Jul,Home,Win,1,6,0,2,12
22-Jul,Home,Lose,0,11,0,0,8
23-Jul,Home,Win,1,14,4,1,8
24-Jul,Home,Lose,0,8,2,0,6
25-Jul,Home,Win,1,14,3,2,5
26-Jul,Home,Win,1,13,1,4,6
27-Jul,Away,Win,1,6,1,1,6
28-Jul,Away,Win,1,7,2,1,9
29-Jul,Away,Lose,0,7,2,0,12
30-Jul,Away,Lose,0,5,3,1,9
31-Jul,Away,Win,1,8,2,1,6
1-Aug,Away,Lose,0,7,0,0,8
2-Aug,Away,Lose,0,9,1,1,6
4-Aug,Home,Lose,0,9,2,1,9
5-Aug,Home,Win,1,11,5,3,5
6-Aug,Home,Win,1,7,1,1,3
7-Aug,Home,Lose,0,4,1,1,9
8-Aug,Home,Lose,0,11,3,0,6
9-Aug,Home,Lose,0,6,0,1,9
11-Aug,Away,Win,1,3,0,2,9
12-Aug,Away,Win,1,14,3,3,9
13-Aug,Away,Win,1,10,2,2,9
14-Aug,Away,Win,1,7,2,2,9
15-Aug,Away,Lose,0,7,3,1,4
16-Aug,Away,Win,1,7,1,2,8
18-Aug,Home,Win,1,12,1,2,6
19-Aug,Home,Win,1,13,2,4,10
20-Aug,Home,Win,1,12,1,3,7
21-Aug,Away,Lose,0,10,1,0,10
22-Aug,Away,Win,1,7,4,1,6
23-Aug,Away,Win,1,10,1,2,6
24-Aug,Away,Win,1,7,2,2,9
25-Aug,Away,Lose,0,9,5,2,8
26-Aug,Away,Win,1,9,4,2,6
27-Aug,Away,Lose,0,6,1,1,9
28-Aug,Home,Win,1,9,2,2,8
29-Aug,Home,Lose,0,11,1,1,7
30-Aug,Home,Win,1,8,3,1,4
1-Sep,Home,Win,1,5,2,0,10
2-Sep,Home,Lose,0,5,0,0,4
3-Sep,Home,Win,1,4,3,1,12
4-Sep,Away,Lose,0,8,1,0,9
5-Sep,Away,Lose,0,10,1,0,9
6-Sep,Away,Lose,0,9,1,3,8
7-Sep,Away,Lose,0,7,2,2,7
8-Sep,Away,Win,1,7,0,5,2
9-Sep,Away,Win,1,11,3,2,8
10-Sep,Away,Lose,0,11,1,1,2
11-Sep,Home,Win,1,12,6,0,6
12-Sep,Home,Lose,0,12,3,3,7
Sep 13 (1),Home,Win,1,10,2,2,5
Sep 13 (2),Home,Win,1,3,1,0,4
15-Sep,Home,Win,1,10,4,0,3
16-Sep,Home,Win,1,8,0,1,5
17-Sep,Home,Win,1,6,1,0,7
18-Sep,Away,Win,1,10,1,4,4
19-Sep,Away,Lose,0,8,1,1,8
20-Sep,Away,Win,1,10,5,0,9
Sep 22 (1),Away,Win,1,11,1,1,16
Sep 22 (2),Away,Lose,0,2,1,0,7
23-Sep,Away,Lose,0,9,3,2,6
24-Sep,Away,Win,1,14,2,1,8
25-Sep,Away,Lose,0,9,0,0,8
26-Sep,Away,Lose,0,8,0,2,5
27-Sep,Away,Win,1,14,5,1,9
28-Sep,Home,Lose,0,4,1,0,5
29-Sep,Home,Win,1,8,1,2,6
30-Sep,Home,Win,1,9,3,1,2
1-Oct,Home,Lose,0,13,3,0,8
2-Oct,Home,Lose,0,7,1,1,4
3-Oct,Home,Lose,0,6,0,2,4
4-Oct,Home,Win,1,12,0,1,13
